,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
14,2020-04-03,97.9182942275726,0.9811469755116131,176.89113152643924,97.9182942275726,97.9182942275726,-7.762546552080305,-7.762546552080305,-7.762546552080305,-7.762546552080305,-7.762546552080305,-7.762546552080305,0.0,0.0,0.0,90.1557476754923
15,2020-04-06,103.30476666971846,11.68923289558763,182.00405689604744,103.30476666971846,103.30476666971846,-5.864684727321714,-5.864684727321714,-5.864684727321714,-5.864684727321714,-5.864684727321714,-5.864684727321714,0.0,0.0,0.0,97.44008194239674
16,2020-04-07,105.10025748376708,17.5518205617134,189.66505099115744,105.10025748376708,105.10025748376708,-2.38337957921149,-2.38337957921149,-2.38337957921149,-2.38337957921149,-2.38337957921149,-2.38337957921149,0.0,0.0,0.0,102.71687790455559
17,2020-04-08,106.89574828671248,15.961871711991162,187.79709383143086,106.89574828671248,106.89574828671248,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,0.0,0.0,0.0,103.40138829463372
18,2020-04-09,108.69123908965786,21.473770248168556,189.98285834706311,108.69123908965786,108.69123908965786,-3.843578695324534,-3.843578695324534,-3.843578695324534,-3.843578695324534,-3.843578695324534,-3.843578695324534,0.0,0.0,0.0,104.84766039433332
19,2020-04-13,115.87320230143942,28.468673394606224,201.9788163839106,115.87320230143942,115.87320230143942,-5.864684727314722,-5.864684727314722,-5.864684727314722,-5.864684727314722,-5.864684727314722,-5.864684727314722,0.0,0.0,0.0,110.0085175741247
20,2020-04-14,117.6686931043848,27.60369328746757,197.85866897382576,117.6686931043848,117.6686931043848,-2.383379579203698,-2.383379579203698,-2.383379579203698,-2.383379579203698,-2.383379579203698,-2.383379579203698,0.0,0.0,0.0,115.2853135251811
21,2020-04-15,119.4641839073302,30.70059170797091,197.39595987371794,119.4641839073302,119.4641839073302,-3.494359992079954,-3.494359992079954,-3.494359992079954,-3.494359992079954,-3.494359992079954,-3.494359992079954,0.0,0.0,0.0,115.96982391525025
22,2020-04-16,121.2596747102756,25.56351733809809,205.62913570091507,121.2596747102756,121.2596747102756,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,0.0,0.0,0.0,117.41609601497454
23,2020-04-17,123.05516551322098,21.447336970429664,205.35975055605445,123.05516551322098,123.05516551322098,-7.762546552054143,-7.762546552054143,-7.762546552054143,-7.762546552054143,-7.762546552054143,-7.762546552054143,0.0,0.0,0.0,115.29261896116684
24,2020-04-20,128.44163792205717,35.31750117361474,203.07481943794497,128.44163792205717,128.44163792205717,-5.864684727327645,-5.864684727327645,-5.864684727327645,-5.864684727327645,-5.864684727327645,-5.864684727327645,0.0,0.0,0.0,122.57695319472953
25,2020-04-21,130.23712884312036,47.276490999674515,222.30920315563847,130.23712884312036,130.23712884312036,-2.383379579223733,-2.383379579223733,-2.383379579223733,-2.383379579223733,-2.383379579223733,-2.383379579223733,0.0,0.0,0.0,127.85374926389663
26,2020-04-22,132.03261976418358,43.05883957930248,217.21830585030614,132.03261976418358,132.03261976418358,-3.494359992079381,-3.494359992079381,-3.494359992079381,-3.494359992079381,-3.494359992079381,-3.494359992079381,0.0,0.0,0.0,128.5382597721042
27,2020-04-23,133.8281106852468,43.8298203055483,214.48907653101577,133.8281106852468,133.8281106852468,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,-3.8435786953087256,0.0,0.0,0.0,129.98453198993806
28,2020-04-24,135.62360160631,36.54339137795892,214.71636433846678,135.62360160631,135.62360160631,-7.762546552058772,-7.762546552058772,-7.762546552058772,-7.762546552058772,-7.762546552058772,-7.762546552058772,0.0,0.0,0.0,127.86105505425121
29,2020-04-27,141.01007436949962,47.110941562332975,217.64121238875526,141.01007436949962,141.01007436949962,-5.864684727294363,-5.864684727294363,-5.864684727294363,-5.864684727294363,-5.864684727294363,-5.864684727294363,0.0,0.0,0.0,135.14538964220526
30,2020-04-28,142.8055652905628,57.39161702941581,228.1178144253506,142.8055652905628,142.8055652905628,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,-2.3833795792159402,0.0,0.0,0.0,140.42218571134688
31,2020-04-29,144.60105621162603,56.28264312549702,234.6732223812972,144.60105621162603,144.60105621162603,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,-3.4943599920823423,0.0,0.0,0.0,141.1066962195437
32,2020-04-30,146.39654713268925,49.131899534529126,225.2949194395103,146.39654713268925,146.39654713268925,-3.843578695307547,-3.843578695307547,-3.843578695307547,-3.843578695307547,-3.843578695307547,-3.843578695307547,0.0,0.0,0.0,142.5529684373817
33,2020-05-01,148.19203803861618,53.25181506963354,225.8072804819249,148.19203803861618,148.19203803861618,-7.762546552077818,-7.762546552077818,-7.762546552077818,-7.762546552077818,-7.762546552077818,-7.762546552077818,0.0,0.0,0.0,140.42949148653835
34,2020-05-04,153.57851075639704,63.67278203377905,237.8978449799777,153.57851075639704,153.57851075639704,-5.864684727307285,-5.864684727307285,-5.864684727307285,-5.864684727307285,-5.864684727307285,-5.864684727307285,0.0,0.0,0.0,147.71382602908974
35,2020-05-05,155.374001662324,69.26713020227358,241.53354969502826,155.374001662324,155.374001662324,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,-2.3833795792081487,0.0,0.0,0.0,152.99062208311585
36,2020-05-06,157.16949256825092,63.47813472103236,233.8686215190172,157.16949256825092,157.16949256825092,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,-3.4943599920817676,0.0,0.0,0.0,153.67513257616915
37,2020-05-07,158.96498347417784,69.46095858262595,242.98614554246834,158.96498347417784,158.96498347417784,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,-3.8435786953152173,0.0,0.0,0.0,155.12140477886263
38,2020-05-08,160.7604743801048,68.82879696031381,235.77770486978451,160.7604743801048,160.7604743801048,-7.762546552082449,-7.762546552082449,-7.762546552082449,-7.762546552082449,-7.762546552082449,-7.762546552082449,0.0,0.0,0.0,152.99792782802234
39,2020-05-11,166.14694709788563,77.13635004123519,251.89536412450062,166.14694709788563,166.14694709788563,-5.864684727300293,-5.864684727300293,-5.864684727300293,-5.864684727300293,-5.864684727300293,-5.864684727300293,0.0,0.0,0.0,160.28226237058533
40,2020-05-12,167.94243800381258,75.54358547033782,253.68946397989566,167.94243800381258,167.94243800381258,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,-2.3833795792123897,0.0,0.0,0.0,165.55905842460018
41,2020-05-13,169.7379296771521,81.17591096294932,255.7247811229413,169.7379296771521,169.7379296771521,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,-3.4943599920786026,0.0,0.0,0.0,166.24356968507348
42,2020-05-14,171.5334213504916,83.0949424344116,243.83214348407742,171.5334213504916,171.5334213504916,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,-3.8435786953140387,0.0,0.0,0.0,167.68984265517756
43,2020-05-15,173.32891302383112,77.61313029758304,247.13642695173706,173.32891302383112,173.32891302383112,-7.762546552069369,-7.762546552069369,-7.762546552069369,-7.762546552069369,-7.762546552069369,-7.762546552069369,0.0,0.0,0.0,165.56636647176174
44,2020-05-18,178.71538804384969,92.22622599504776,260.6322584341753,178.71538804384969,178.71538804384969,-5.864684727286927,-5.864684727286927,-5.864684727286927,-5.864684727286927,-5.864684727286927,-5.864684727286927,0.0,0.0,0.0,172.85070331656277
45,2020-05-19,180.51087971718923,93.13957276555888,264.10211220539566,180.51087971718923,180.51087971718923,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,-2.3833795792166317,0.0,0.0,0.0,178.1275001379726
46,2020-05-20,182.30637139052874,89.93791993244001,260.67960527534564,182.30637139052874,182.30637139052874,-3.494359992079796,-3.494359992079796,-3.494359992079796,-3.494359992079796,-3.494359992079796,-3.494359992079796,0.0,0.0,0.0,178.81201139844893
47,2020-05-21,184.10186306386825,95.45608812287846,266.1362430806082,184.10186306386825,184.10186306386825,-3.843578695330557,-3.843578695330557,-3.843578695330557,-3.843578695330557,-3.843578695330557,-3.843578695330557,0.0,0.0,0.0,180.2582843685377
48,2020-05-22,185.89735473720776,94.53822016509284,265.94240403904706,185.89735473720776,185.89735473720776,-7.762546552056286,-7.762546552056286,-7.762546552056286,-7.762546552056286,-7.762546552056286,-7.762546552056286,0.0,0.0,0.0,178.13480818515148
49,2020-05-26,193.0793249749908,107.83936238244529,272.9894737383988,193.0793249749908,193.0793249749908,-2.38337957920884,-2.38337957920884,-2.38337957920884,-2.38337957920884,-2.38337957920884,-2.38337957920884,0.0,0.0,0.0,190.69594539578196
50,2020-05-27,194.87481753443652,101.81398350603932,276.1493014197305,194.87481753443652,194.87481753443652,-3.494359992080991,-3.494359992080991,-3.494359992080991,-3.494359992080991,-3.494359992080991,-3.494359992080991,0.0,0.0,0.0,191.38045754235551
51,2020-05-28,196.67031009388228,110.52642225988794,283.98946504680396,196.67031009388228,196.67031009388228,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,-3.8435786953070776,0.0,0.0,0.0,192.8267313985752
52,2020-05-29,198.465802653328,105.80126916544229,283.07656844846036,198.465802653328,198.465802653328,-7.762546552093045,-7.762546552093045,-7.762546552093045,-7.762546552093045,-7.762546552093045,-7.762546552093045,0.0,0.0,0.0,190.70325610123496
53,2020-06-01,203.8522803316653,113.29500723514906,278.200498051275,203.8522803316653,203.8522803316653,-5.864684727312774,-5.864684727312774,-5.864684727312774,-5.864684727312774,-5.864684727312774,-5.864684727312774,0.0,0.0,0.0,197.98759560435252
54,2020-06-02,205.647772891111,116.37877177412707,285.5516666318877,205.647772891111,205.647772891111,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,-2.3833795792010486,0.0,0.0,0.0,203.26439331190994
55,2020-06-03,207.44326545055677,124.5766882763632,291.1658623967063,207.44326545055677,207.44326545055677,-3.494359992080417,-3.494359992080417,-3.494359992080417,-3.494359992080417,-3.494359992080417,-3.494359992080417,0.0,0.0,0.0,203.94890545847636
56,2020-06-04,209.2387580100025,118.28678650941532,295.429815765217,209.2387580100025,209.2387580100025,-3.843578695314748,-3.843578695314748,-3.843578695314748,-3.843578695314748,-3.843578695314748,-3.843578695314748,0.0,0.0,0.0,205.39517931468774
57,2020-06-05,211.0565948508915,120.24082928658127,291.9852678277397,211.0565948508915,211.0565948508915,-7.762546552097674,-7.762546552097674,-7.762546552097674,-7.762546552097674,-7.762546552097674,-7.762546552097674,0.0,0.0,0.0,203.29404829879385
58,2020-06-08,216.51010537355864,119.3428216957306,298.1144081284856,216.51010537355864,216.51010537355864,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,-5.8646847273057805,0.0,0.0,0.0,210.64542064625286
